CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"3,280.00","3,500",0.30,2.95,175,-,-,-,-,-,3,
,1,-,-,-,-,-,-,-,-,-,"3,320.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,525,520.25,557.70,525,"3,400.00","1,575",1.55,2.20,700,0.45,1.80,-,10,-1,52,
,-,-,-,-,-,-,525,480.55,517.00,525,"3,440.00",875,0.65,3.50,525,-,-,-,-,-,45,
,-,-,-,-,-,-,525,442.05,477.55,525,"3,480.00",175,1.25,4.00,175,-,-,-,-,-,32,
,28,-,-,-,-,-,875,420.70,450.25,525,"3,500.00","4,200",2.60,2.85,525,-0.50,2.60,-,269,201,541,
,2,-,-,-,-,-,"7,000",349.00,495.10,"7,000","3,520.00",175,2.00,4.50,175,-,-,-,-,-,25,
,-,-,-,-,-,-,-,-,-,-,"3,540.00","2,800",1.25,5.90,700,-,-,-,-,-,10,
,-,-,-,-,-,-,"7,000",311.00,395.10,525,"3,560.00",350,2.90,5.00,175,-,-,-,-,-,349,
,-,-,-,-,-,-,-,-,-,-,"3,580.00","3,850",1.50,4.50,700,-2.05,3.30,18.33,7,-,330,
,76,-,1,-,344.80,39.80,175,327.30,343.20,175,"3,600.00",350,4.35,4.50,525,-1.70,4.45,18.52,"2,152","1,343","2,013",
,-,-,-,-,-,-,-,-,-,-,"3,620.00",875,5.10,17.80,525,0.05,6.70,-,10,4,42,
,2,1,2,-,290.00,5.00,525,289.10,312.55,525,"3,640.00","2,100",5.20,8.00,"4,375",-1.80,6.60,-,225,76,205,
,-,-,-,-,-,-,525,267.20,300.00,525,"3,660.00",525,5.05,11.00,"4,725",-2.85,8.15,-,2,1,75,
,-,-,-,-,-,-,525,248.90,278.70,525,"3,680.00",350,6.90,10.80,175,-1.45,10.95,-,8,-1,469,
,280,1,3,-,245.00,14.20,175,237.15,251.10,175,"3,700.00",175,11.40,12.05,175,-3.30,11.50,17.78,807,226,717,
,13,-,-,-,-,-,"7,000",158.75,292.35,"7,000","3,720.00",525,12.10,17.80,350,-2.15,13.95,17.67,36,6,105,
,11,-,-,-,-,-,525,197.60,234.10,525,"3,740.00","1,575",14.05,18.95,350,-3.65,17.00,17.67,45,22,80,
,19,-,-,-,-,-,-,-,255.95,"7,000","3,760.00",175,18.00,24.20,350,-3.80,20.00,-,34,-6,69,
,11,-,-,-,-,-,525,158.05,199.55,525,"3,780.00","7,000",8.35,38.25,525,-,-,-,-,-,60,
,588,3,38,13.81,158.00,9.20,350,158.05,170.95,"2,800","3,800.00",175,28.00,28.55,175,-4.90,28.00,17.29,493,-18,477,
,22,-,-,-,-,-,525,133.75,159.50,"1,750","3,820.00",175,28.10,37.90,175,-4.45,34.05,17.51,44,5,122,
,91,-16,40,-,131.10,8.95,350,126.45,137.00,175,"3,840.00",175,38.00,39.15,350,-5.40,39.00,17.27,216,13,669,
,199,21,164,-,117.80,9.90,175,107.45,131.40,"2,800","3,860.00",525,40.25,46.80,350,-6.25,45.35,17.21,475,44,657,
,164,-44,295,-,105.00,9.10,175,100.00,107.50,350,"3,880.00",175,47.00,53.90,350,-5.60,53.85,17.48,576,42,236,
,"1,035",-154,"2,825",15.25,94.40,9.90,175,93.60,94.50,175,"3,900.00","1,050",60.00,61.65,175,-7.00,61.00,-,"2,027",79,874,
,"1,181",874,"4,975",15.39,83.90,9.70,175,82.60,84.00,"1,750","3,920.00",175,69.05,71.50,175,-7.75,69.90,-,576,56,193,
,401,119,"1,332",15.14,72.40,7.40,175,72.45,73.60,175,"3,940.00",875,71.95,87.50,"2,625",-10.60,77.80,-,150,21,113,
,587,30,"1,226",-,62.10,6.70,350,63.00,64.00,350,"3,960.00",175,80.70,91.60,175,-8.25,87.95,16.87,33,6,42,
,113,3,194,-,54.15,6.45,175,53.75,59.65,175,"3,980.00","2,275",87.35,112.55,875,-15.55,102.60,17.62,35,-,39,
,"1,360",17,"2,636",15.42,48.00,6.65,525,46.00,48.00,700,"4,000.00",175,104.40,118.75,350,-8.80,114.00,-,96,19,155,
,129,13,110,15.10,40.50,5.45,175,35.95,45.60,350,"4,020.00",175,120.05,137.50,175,-,-,-,-,-,13,
,138,11,112,15.06,33.45,2.60,350,33.70,36.00,175,"4,040.00",350,128.15,158.20,525,-,-,-,-,-,3,
,108,-28,124,-,27.70,3.20,175,25.10,31.00,175,"4,060.00",525,133.20,217.45,"7,000",-,-,-,-,-,-,
,133,7,73,-,25.00,3.50,175,7.35,26.80,175,"4,080.00",-,-,234.65,"7,000",-,-,-,-,-,-,
,906,21,560,15.23,19.95,2.25,350,19.50,23.00,525,"4,100.00",175,177.60,197.00,875,-46.00,180.00,-,1,-,16,
,332,20,93,14.57,14.50,1.15,875,15.55,23.75,175,"4,120.00",525,177.85,217.30,525,-,-,-,-,-,13,
,173,8,34,16.31,16.55,4.15,"3,500",3.10,16.35,175,"4,140.00",525,191.30,231.60,525,-,-,-,-,-,-,
,217,22,46,15.77,12.30,-,350,4.15,25.45,"7,000","4,160.00",525,211.05,247.80,525,-,-,-,-,-,15,
,265,150,244,15.48,9.40,1.20,525,8.05,10.65,175,"4,180.00",-,-,-,-,-,-,-,-,-,-,
,723,170,411,-,8.20,0.65,350,7.25,9.60,350,"4,200.00","1,750",266.20,284.25,700,-60.00,265.00,16.80,2,-1,54,
,565,87,260,-,5.00,-,875,5.00,6.75,"1,050","4,240.00",525,287.50,365.35,"7,000",-,-,-,-,-,2,
,"1,572","1,292","1,775",16.31,3.90,0.25,350,2.00,5.20,175,"4,280.00",525,331.80,358.30,525,-,-,-,-,-,-,
,81,-100,148,-,2.25,-1.10,875,2.10,6.00,175,"4,320.00",525,362.90,399.35,525,-,-,-,-,-,-,
,46,-,7,17.95,2.70,-,175,1.65,4.95,175,"4,360.00",525,402.05,438.85,525,-,-,-,-,-,-,
,224,24,64,17.56,1.50,-0.75,700,1.55,2.40,"1,400","4,400.00",-,-,-,-,-,-,-,-,-,-,
