Unhedged_simple,Unhedged_log,Delta-hedged_simple,Delta-hedged_log,Gamma-hedged_simple,Gamma-hedged_log,Delta+Gamma-hedged_simple,Delta+Gamma-hedged_log
7.941188424641723,7.940650539794888,9.094947017729282e-13,4.547473508864641e-13,9.094947017729282e-13,4.547473508864641e-13,9.094947017729282e-13,4.547473508864641e-13
-409.7098155021465,-411.14841510660926,1.8189894035458565e-12,-1.8189894035458565e-12,1.8189894035458565e-12,-1.8189894035458565e-12,1.8189894035458565e-12,-1.8189894035458565e-12
-116.7416446129946,-116.8580535346025,0.0,-4.547473508864641e-13,0.0,-4.547473508864641e-13,0.0,-4.547473508864641e-13
-447.06737288135923,-448.78100979766145,4.547473508864641e-12,-1.3642420526593924e-12,4.547473508864641e-12,-1.3642420526593924e-12,4.547473508864641e-12,-1.3642420526593924e-12
-153.3972204622412,-153.59829220397887,2.7284841053187847e-12,1.8189894035458565e-12,2.7284841053187847e-12,1.8189894035458565e-12,2.7284841053187847e-12,1.8189894035458565e-12
-589.2957520852965,-592.2780239306421,9.094947017729282e-13,-3.183231456205249e-12,9.094947017729282e-13,-3.183231456205249e-12,9.094947017729282e-13,-3.183231456205249e-12
-201.15246080017437,-201.49840275952533,-4.092726157978177e-12,-1.8189894035458565e-12,-4.092726157978177e-12,-1.8189894035458565e-12,-4.092726157978177e-12,-1.8189894035458565e-12
-620.304571796532,-623.6101319751288,1.3642420526593924e-12,-5.9117155615240335e-12,1.3642420526593924e-12,-5.9117155615240335e-12,1.3642420526593924e-12,-5.9117155615240335e-12
376.4952463144864,375.29125932244847,4.547473508864641e-13,-4.092726157978177e-12,4.547473508864641e-13,-4.092726157978177e-12,4.547473508864641e-13,-4.092726157978177e-12
-557.0186403508815,-559.6821809609648,-3.183231456205249e-12,-3.183231456205249e-12,-3.183231456205249e-12,-3.183231456205249e-12,-3.183231456205249e-12,-3.183231456205249e-12
-194.66402214021787,-194.98798243552892,-9.094947017729282e-13,-4.547473508864641e-13,-9.094947017729282e-13,-4.547473508864641e-13,-9.094947017729282e-13,-4.547473508864641e-13
-736.1784951442532,-740.8405705174171,-1.3642420526593924e-12,-1.3642420526593924e-12,-1.3642420526593924e-12,-1.3642420526593924e-12,-1.3642420526593924e-12,-1.3642420526593924e-12
-163.9854493539408,-164.21526474269513,4.092726157978177e-12,-4.092726157978177e-12,4.092726157978177e-12,-4.092726157978177e-12,4.092726157978177e-12,-4.092726157978177e-12
-310.2425596529372,-311.0665006354486,4.547473508864641e-13,3.183231456205249e-12,4.547473508864641e-13,3.183231456205249e-12,4.547473508864641e-13,3.183231456205249e-12
-356.2060799023027,-357.2928160867334,-4.547473508864641e-13,2.7284841053187847e-12,-4.547473508864641e-13,2.7284841053187847e-12,-4.547473508864641e-13,2.7284841053187847e-12
-682.4728373753085,-686.4770377019806,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13
-888.2976468847048,-895.09735443218,4.547473508864641e-13,-4.547473508864641e-12,4.547473508864641e-13,-4.547473508864641e-12,4.547473508864641e-13,-4.547473508864641e-12
1301.862005229465,1287.615260010557,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13
-589.3949488415803,-592.3782281834176,-2.2737367544323206e-12,-9.094947017729282e-13,-2.2737367544323206e-12,-9.094947017729282e-13,-2.2737367544323206e-12,-9.094947017729282e-13
718.9843035343092,714.6104628003782,0.0,2.7284841053187847e-12,0.0,2.7284841053187847e-12,0.0,2.7284841053187847e-12
773.9041457618173,768.8397216925805,-1.8189894035458565e-12,9.094947017729282e-13,-1.8189894035458565e-12,9.094947017729282e-13,-1.8189894035458565e-12,9.094947017729282e-13
-473.568021892105,-475.49142076131307,1.8189894035458565e-12,2.7284841053187847e-12,1.8189894035458565e-12,2.7284841053187847e-12,1.8189894035458565e-12,2.7284841053187847e-12
-123.20651602733551,-123.33618437991368,9.094947017729282e-13,0.0,9.094947017729282e-13,0.0,9.094947017729282e-13,0.0
2527.6241004037224,2474.6435936030825,1.3642420526593924e-12,9.094947017729282e-13,1.3642420526593924e-12,9.094947017729282e-13,1.3642420526593924e-12,9.094947017729282e-13
-246.5875308503471,-247.1076704354914,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12
-308.71116149383147,-309.5269741171478,-3.637978807091713e-12,-2.7284841053187847e-12,-3.637978807091713e-12,-2.7284841053187847e-12,-3.637978807091713e-12,-2.7284841053187847e-12
28.213242164269786,28.20645443999092,-2.7284841053187847e-12,1.3642420526593924e-12,-2.7284841053187847e-12,1.3642420526593924e-12,-2.7284841053187847e-12,1.3642420526593924e-12
63.03455399592394,63.0006848940011,1.8189894035458565e-12,4.547473508864641e-13,1.8189894035458565e-12,4.547473508864641e-13,1.8189894035458565e-12,4.547473508864641e-13
192.21456436931385,191.90009237857635,2.2737367544323206e-12,3.183231456205249e-12,2.2737367544323206e-12,3.183231456205249e-12,2.2737367544323206e-12,3.183231456205249e-12
1507.9163567202136,1488.8467226387606,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13
555.5132131967086,552.8973613131311,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12
995.3214324589098,986.9653577163422,-2.7284841053187847e-12,-1.3642420526593924e-12,-2.7284841053187847e-12,-1.3642420526593924e-12,-2.7284841053187847e-12,-1.3642420526593924e-12
-128.61155410467813,-128.75285774727695,-4.547473508864641e-12,0.0,-4.547473508864641e-12,0.0,-4.547473508864641e-12,0.0
680.6251407884206,676.7038619184464,-3.183231456205249e-12,-1.3642420526593924e-12,-3.183231456205249e-12,-1.3642420526593924e-12,-3.183231456205249e-12,-1.3642420526593924e-12
-891.9040638337351,-898.7593807824012,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13
392.88431720907647,391.5734712060448,9.094947017729282e-13,-1.3642420526593924e-12,9.094947017729282e-13,-1.3642420526593924e-12,9.094947017729282e-13,-1.3642420526593924e-12
-357.35424354243446,-358.44801115517885,2.2737367544323206e-12,-3.637978807091713e-12,2.2737367544323206e-12,-3.637978807091713e-12,2.2737367544323206e-12,-3.637978807091713e-12
493.58761097659976,491.5210107133373,-5.4569682106375694e-12,2.7284841053187847e-12,-5.4569682106375694e-12,2.7284841053187847e-12,-5.4569682106375694e-12,2.7284841053187847e-12
37.5309340234237,37.51892380399204,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12
-62.51153118084608,-62.54488816013259,-1.3642420526593924e-12,-9.094947017729282e-13,-1.3642420526593924e-12,-9.094947017729282e-13,-1.3642420526593924e-12,-9.094947017729282e-13
-347.3093922651931,-348.3424161477144,-4.547473508864641e-12,-2.2737367544323206e-12,-4.547473508864641e-12,-2.2737367544323206e-12,-4.547473508864641e-12,-2.2737367544323206e-12
1400.6657269432062,1384.192605308403,-3.637978807091713e-12,-9.094947017729282e-13,-3.637978807091713e-12,-9.094947017729282e-13,-3.637978807091713e-12,-9.094947017729282e-13
-600.9875573620022,-604.0897575024644,1.3642420526593924e-12,-1.3642420526593924e-12,1.3642420526593924e-12,-1.3642420526593924e-12,1.3642420526593924e-12,-1.3642420526593924e-12
-79.20174067401467,-79.25529794244449,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13,3.637978807091713e-12,-4.547473508864641e-13
524.0607937813311,521.7319418373597,9.094947017729282e-13,4.547473508864641e-13,9.094947017729282e-13,4.547473508864641e-13,9.094947017729282e-13,4.547473508864641e-13
144.88185642913913,144.70309631197279,-4.092726157978177e-12,2.7284841053187847e-12,-4.092726157978177e-12,2.7284841053187847e-12,-4.092726157978177e-12,2.7284841053187847e-12
595.0109773371121,592.0112567577476,2.2737367544323206e-12,-3.183231456205249e-12,2.2737367544323206e-12,-3.183231456205249e-12,2.2737367544323206e-12,-3.183231456205249e-12
-181.1234322661137,-181.40384815468383,1.8189894035458565e-12,3.183231456205249e-12,1.8189894035458565e-12,3.183231456205249e-12,1.8189894035458565e-12,3.183231456205249e-12
-152.67633882058226,-152.8755235155004,1.3642420526593924e-12,-4.547473508864641e-12,1.3642420526593924e-12,-4.547473508864641e-12,1.3642420526593924e-12,-4.547473508864641e-12
603.1157160764594,600.034001289969,-2.7284841053187847e-12,0.0,-2.7284841053187847e-12,0.0,-2.7284841053187847e-12,0.0
160.60701545779148,160.38738420230993,0.0,-1.3642420526593924e-12,0.0,-1.3642420526593924e-12,0.0,-1.3642420526593924e-12
814.4399489585526,808.8336550467825,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12
-457.5260862932498,-459.32105372881233,2.7284841053187847e-12,4.547473508864641e-13,2.7284841053187847e-12,4.547473508864641e-13,2.7284841053187847e-12,4.547473508864641e-13
27.036669741690275,27.030436264113632,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12,4.547473508864641e-13,-1.8189894035458565e-12
-448.90206700475915,-450.6298340577566,-3.183231456205249e-12,4.547473508864641e-13,-3.183231456205249e-12,4.547473508864641e-13,-3.183231456205249e-12,4.547473508864641e-13
-290.48282270346135,-291.204987387011,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12,1.8189894035458565e-12,-1.3642420526593924e-12
647.7186843402183,644.1660899430149,-2.2737367544323206e-12,-3.183231456205249e-12,-2.2737367544323206e-12,-3.183231456205249e-12,-2.2737367544323206e-12,-3.183231456205249e-12
84.21551171204851,84.15507149952691,3.637978807091713e-12,-1.8189894035458565e-12,3.637978807091713e-12,-1.8189894035458565e-12,3.637978807091713e-12,-1.8189894035458565e-12
66.07439858581142,66.03718532312382,2.7284841053187847e-12,9.094947017729282e-13,2.7284841053187847e-12,9.094947017729282e-13,2.7284841053187847e-12,9.094947017729282e-13
